date,cases,vaccinations,vaccinated % of population
2021-07-09,113,340605,57.85
2021-07-10,119,341742,58.04
2021-07-11,121,342573,58.18
2021-07-12,122,343491,58.34
2021-07-13,91,346326,58.82
2021-07-14,104,348538,59.19
2021-07-15,107,350653,59.55
2021-07-16,107,353311,60.0
2021-07-17,107,353311,60.0
2021-07-18,107,353311,60.0
2021-07-19,128,353311,60.0
2021-07-20,106,357077,60.64
2021-07-21,107,358426,60.87
2021-07-22,119,359397,61.04
2021-07-23,129,359397,61.04
2021-07-24,129,359397,61.04
2021-07-25,129,359397,61.04
2021-07-26,158,397026,67.43
2021-07-27,134,363422,61.72
2021-07-28,150,363422,61.72
2021-07-29,173,364212,61.86
2021-07-30,202,368008,62.5
2021-07-31,202,368008,62.5
2021-08-01,202,368008,62.5
2021-08-02,250,368008,62.5
2021-08-03,228,370375,62.9
2021-08-04,253,370375,62.9
2021-08-05,264,371541,63.1
2021-08-06,289,371541,63.1
2021-08-07,289,371541,63.1
2021-08-08,289,371541,63.1
2021-08-09,362,373292,63.4
2021-08-10,335,375763,63.82
2021-08-11,370,375763,63.82
2021-08-12,426,377279,64.07
2021-08-13,480,377279,64.07
2021-08-14,480,377279,64.07
2021-08-15,480,377279,64.07
2021-08-16,632,379239,64.41
2021-08-17,560,381970,64.87
2021-08-18,626,381970,64.87
2021-08-19,719,388661,66.01
2021-08-20,808,388661,66.01
2021-08-21,808,388661,66.01
2021-08-22,808,388661,66.01
2021-08-23,1051,386470,65.64
2021-08-24,1026,390113,66.25
2021-08-25,1065,390113,66.25
2021-08-26,1233,391583,66.5
2021-08-27,1364,391583,66.5
2021-08-28,1364,391583,66.5
2021-08-29,1364,391583,66.5
2021-08-30,1620,393699,66.86
2021-08-31,1585,395812,67.22
2021-09-01,1614,395812,67.22
2021-09-02,1758,397662,67.54
2021-09-03,1917,397662,67.54
2021-09-04,1917,397662,67.54
2021-09-05,1917,397662,67.54
2021-09-06,2225,400006,67.93
2021-09-07,2214,401375,68.17
2021-09-08,2212,401375,68.17
2021-09-09,2301,403339,68.5
2021-09-10,2385,403339,68.5
2021-09-11,2385,403339,68.5
2021-09-12,2385,403339,68.5
2021-09-13,2565,404676,68.73
2021-09-14,2571,406269,69.0
2021-09-15,2454,406269,69.0
2021-09-16,2314,408288,69.34
2021-09-17,2328,408288,69.34
2021-09-18,2328,408288,69.34
2021-09-19,2328,408288,69.34
2021-09-20,2149,409709,69.58
2021-09-21,2151,411550,69.89
2021-09-22,2133,411550,69.89
2021-09-23,2178,412365,70.03
2021-09-24,2191,412365,70.03
2021-09-25,2191,412365,70.03
2021-09-26,2191,412365,70.03
2021-09-27,2236,413414,70.21
2021-09-28,2077,414506,70.4
2021-09-29,1910,414506,70.4
2021-09-30,1770,414506,70.4
2021-10-01,1746,410028,69.64
2021-10-02,1746,410028,69.64
2021-10-03,1746,410028,69.64
2021-10-04,1383,410028,69.64
2021-10-05,1185,412267,70.02
2021-10-06,1168,412267,70.02
2021-10-07,1030,412267,70.02
2021-10-08,1011,412267,70.02
2021-10-09,1011,412267,70.02
2021-10-10,1011,412267,70.02
2021-10-11,1066,412267,70.02
2021-10-12,937,414678,70.43
2021-10-13,835,414678,70.43
2021-10-14,784,414678,70.43
2021-10-15,738,414678,70.43
2021-10-16,738,414678,70.43
2021-10-17,738,414678,70.43
2021-10-18,782,414678,70.43
2021-10-19,728,414678,70.43
2021-10-20,737,416343,70.71
2021-10-21,748,416343,70.71
2021-10-22,761,416343,70.71
2021-10-23,761,416343,70.71
2021-10-24,761,416343,70.71
2021-10-25,841,416343,70.71
2021-10-26,811,417907,70.97
2021-10-27,861,417907,70.97
2021-10-28,956,417907,70.97
2021-10-29,1008,417907,70.97
2021-10-30,1008,417907,70.97
2021-10-31,1008,417907,70.97
2021-11-01,1008,417907,70.97
2021-11-02,1147,417907,70.97
2021-11-03,1119,417907,70.97
2021-11-04,1189,419401,71.23
2021-11-05,1319,419401,71.23
2021-11-06,1319,419401,71.23
2021-11-07,1319,419401,71.23
2021-11-08,1515,419401,71.23
2021-11-09,1525,419401,71.23
2021-11-10,1565,420760,71.46
2021-11-11,1685,420760,71.46
2021-11-12,1756,420760,71.46
2021-11-13,1756,420760,71.46
2021-11-14,1756,420760,71.46
2021-11-15,1775,420760,71.46
2021-11-16,1782,422125,71.69
2021-11-17,1715,422125,71.69
2021-11-18,1841,422125,71.69
2021-11-19,1909,422125,71.69
2021-11-20,1909,422125,71.69
2021-11-21,1909,422125,71.69
2021-11-22,2041,422125,71.69
2021-11-23,2183,424071,72.02
2021-11-24,2223,424071,72.02
2021-11-25,2355,424071,72.02
2021-11-26,2551,424071,72.02
2021-11-27,2551,424071,72.02
2021-11-28,2551,424071,72.02
2021-11-29,3024,424071,72.02
2021-11-30,3118,427764,72.65
2021-12-01,3247,427764,72.65
2021-12-02,3234,427764,72.65
2021-12-03,3396,427764,72.65
2021-12-04,3396,427764,72.65
2021-12-05,3396,427764,72.65
2021-12-06,3796,427764,72.65
2021-12-07,3866,431605,73.3
2021-12-08,3545,431605,73.3
2021-12-09,3460,431605,73.3
2021-12-10,3648,431605,73.3
2021-12-11,3648,431605,73.3
2021-12-12,3648,431605,73.3
2021-12-13,3785,431605,73.3
